compile_order,circuit_inventory_id,pair_id,regime,depth,two_qubit_count,num_qubits,ops
120,zz4_H0_zz4_pair_0120,zz4_pair_0120,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
121,zz4_H0_zz4_pair_0121,zz4_pair_0121,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
122,zz4_H0_zz4_pair_0122,zz4_pair_0122,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
123,zz4_H0_zz4_pair_0123,zz4_pair_0123,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
124,zz4_H0_zz4_pair_0124,zz4_pair_0124,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
125,zz4_H0_zz4_pair_0125,zz4_pair_0125,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
126,zz4_H0_zz4_pair_0126,zz4_pair_0126,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
127,zz4_H0_zz4_pair_0127,zz4_pair_0127,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
128,zz4_H0_zz4_pair_0128,zz4_pair_0128,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
129,zz4_H0_zz4_pair_0129,zz4_pair_0129,H0,1,0,156,"{'measure': 4, 'barrier': 1}"
130,zz4_H0_zz4_pair_0130,zz4_pair_0130,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
131,zz4_H0_zz4_pair_0131,zz4_pair_0131,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
132,zz4_H0_zz4_pair_0132,zz4_pair_0132,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
133,zz4_H0_zz4_pair_0133,zz4_pair_0133,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
134,zz4_H0_zz4_pair_0134,zz4_pair_0134,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
135,zz4_H0_zz4_pair_0135,zz4_pair_0135,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
136,zz4_H0_zz4_pair_0136,zz4_pair_0136,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
137,zz4_H0_zz4_pair_0137,zz4_pair_0137,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
138,zz4_H0_zz4_pair_0138,zz4_pair_0138,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
139,zz4_H0_zz4_pair_0139,zz4_pair_0139,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
