pair_id,pair_order,pair_mode,kernel_i,kernel_j,sample_i_id,sample_j_id,sample_i_split,sample_j_split,sample_i_target,sample_j_target,pair_type,split_pair,target_pair,expected_symmetry_mirror,include_in_wave1_full_kernel,sentinel_pair,notes
zz4_pair_0094,94,upper_triangle_including_diagonal,4,8,35e7dd29fccb3b7f,57efcbdd988cedc7,,,,,off_diagonal,,,true,true,false,
zz4_pair_0095,95,upper_triangle_including_diagonal,4,9,35e7dd29fccb3b7f,a5b2112c04bbe22f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0096,96,upper_triangle_including_diagonal,4,10,35e7dd29fccb3b7f,bba597289cecd596,,,,,off_diagonal,,,true,true,false,
zz4_pair_0097,97,upper_triangle_including_diagonal,4,11,35e7dd29fccb3b7f,7a110121aab5f925,,,,,off_diagonal,,,true,true,false,
zz4_pair_0098,98,upper_triangle_including_diagonal,4,12,35e7dd29fccb3b7f,ecfd53124d72b5dd,,,,,off_diagonal,,,true,true,false,
zz4_pair_0099,99,upper_triangle_including_diagonal,4,13,35e7dd29fccb3b7f,cba4125e4bce6622,,,,,off_diagonal,,,true,true,false,
zz4_pair_0100,100,upper_triangle_including_diagonal,4,14,35e7dd29fccb3b7f,a39713a90257d827,,,,,off_diagonal,,,true,true,false,
zz4_pair_0101,101,upper_triangle_including_diagonal,4,15,35e7dd29fccb3b7f,fc59d55a83f892d0,,,,,off_diagonal,,,true,true,false,
zz4_pair_0102,102,upper_triangle_including_diagonal,4,16,35e7dd29fccb3b7f,a4bd453f56f0e631,,,,,off_diagonal,,,true,true,false,
zz4_pair_0103,103,upper_triangle_including_diagonal,4,17,35e7dd29fccb3b7f,b1db81243749dd16,,,,,off_diagonal,,,true,true,false,
zz4_pair_0104,104,upper_triangle_including_diagonal,4,18,35e7dd29fccb3b7f,d8152fa95ab9f51d,,,,,off_diagonal,,,true,true,false,
zz4_pair_0105,105,upper_triangle_including_diagonal,4,19,35e7dd29fccb3b7f,664a7fad6c56bb69,,,,,off_diagonal,,,true,true,false,
zz4_pair_0106,106,upper_triangle_including_diagonal,4,20,35e7dd29fccb3b7f,fa8359bc13d94b4e,,,,,off_diagonal,,,true,true,false,
zz4_pair_0107,107,upper_triangle_including_diagonal,4,21,35e7dd29fccb3b7f,e670c8b96454834e,,,,,off_diagonal,,,true,true,false,
zz4_pair_0108,108,upper_triangle_including_diagonal,4,22,35e7dd29fccb3b7f,c46db9ff584498d8,,,,,off_diagonal,,,true,true,false,
zz4_pair_0109,109,upper_triangle_including_diagonal,4,23,35e7dd29fccb3b7f,b1c2bbb93e4f5cb2,,,,,off_diagonal,,,true,true,false,
zz4_pair_0110,110,upper_triangle_including_diagonal,5,5,2e9466b16a3fda6e,2e9466b16a3fda6e,,,,,diagonal,,,false,true,false,diagonal may be measured or set to one by documented execution policy
zz4_pair_0111,111,upper_triangle_including_diagonal,5,6,2e9466b16a3fda6e,ab4dc42e7cd1e078,,,,,off_diagonal,,,true,true,false,
zz4_pair_0112,112,upper_triangle_including_diagonal,5,7,2e9466b16a3fda6e,dff67452baae875f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0113,113,upper_triangle_including_diagonal,5,8,2e9466b16a3fda6e,57efcbdd988cedc7,,,,,off_diagonal,,,true,true,false,
zz4_pair_0114,114,upper_triangle_including_diagonal,5,9,2e9466b16a3fda6e,a5b2112c04bbe22f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0115,115,upper_triangle_including_diagonal,5,10,2e9466b16a3fda6e,bba597289cecd596,,,,,off_diagonal,,,true,true,false,
zz4_pair_0116,116,upper_triangle_including_diagonal,5,11,2e9466b16a3fda6e,7a110121aab5f925,,,,,off_diagonal,,,true,true,false,
zz4_pair_0117,117,upper_triangle_including_diagonal,5,12,2e9466b16a3fda6e,ecfd53124d72b5dd,,,,,off_diagonal,,,true,true,false,
zz4_pair_0118,118,upper_triangle_including_diagonal,5,13,2e9466b16a3fda6e,cba4125e4bce6622,,,,,off_diagonal,,,true,true,false,
zz4_pair_0119,119,upper_triangle_including_diagonal,5,14,2e9466b16a3fda6e,a39713a90257d827,,,,,off_diagonal,,,true,true,false,
zz4_pair_0120,120,upper_triangle_including_diagonal,5,15,2e9466b16a3fda6e,fc59d55a83f892d0,,,,,off_diagonal,,,true,true,false,
zz4_pair_0121,121,upper_triangle_including_diagonal,5,16,2e9466b16a3fda6e,a4bd453f56f0e631,,,,,off_diagonal,,,true,true,false,
zz4_pair_0122,122,upper_triangle_including_diagonal,5,17,2e9466b16a3fda6e,b1db81243749dd16,,,,,off_diagonal,,,true,true,false,
zz4_pair_0123,123,upper_triangle_including_diagonal,5,18,2e9466b16a3fda6e,d8152fa95ab9f51d,,,,,off_diagonal,,,true,true,false,
zz4_pair_0124,124,upper_triangle_including_diagonal,5,19,2e9466b16a3fda6e,664a7fad6c56bb69,,,,,off_diagonal,,,true,true,false,
zz4_pair_0125,125,upper_triangle_including_diagonal,5,20,2e9466b16a3fda6e,fa8359bc13d94b4e,,,,,off_diagonal,,,true,true,false,
zz4_pair_0126,126,upper_triangle_including_diagonal,5,21,2e9466b16a3fda6e,e670c8b96454834e,,,,,off_diagonal,,,true,true,false,
zz4_pair_0127,127,upper_triangle_including_diagonal,5,22,2e9466b16a3fda6e,c46db9ff584498d8,,,,,off_diagonal,,,true,true,false,
zz4_pair_0128,128,upper_triangle_including_diagonal,5,23,2e9466b16a3fda6e,b1c2bbb93e4f5cb2,,,,,off_diagonal,,,true,true,false,
zz4_pair_0129,129,upper_triangle_including_diagonal,6,6,ab4dc42e7cd1e078,ab4dc42e7cd1e078,,,,,diagonal,,,false,true,false,diagonal may be measured or set to one by documented execution policy
zz4_pair_0130,130,upper_triangle_including_diagonal,6,7,ab4dc42e7cd1e078,dff67452baae875f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0131,131,upper_triangle_including_diagonal,6,8,ab4dc42e7cd1e078,57efcbdd988cedc7,,,,,off_diagonal,,,true,true,false,
zz4_pair_0132,132,upper_triangle_including_diagonal,6,9,ab4dc42e7cd1e078,a5b2112c04bbe22f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0133,133,upper_triangle_including_diagonal,6,10,ab4dc42e7cd1e078,bba597289cecd596,,,,,off_diagonal,,,true,true,false,
zz4_pair_0134,134,upper_triangle_including_diagonal,6,11,ab4dc42e7cd1e078,7a110121aab5f925,,,,,off_diagonal,,,true,true,false,
zz4_pair_0135,135,upper_triangle_including_diagonal,6,12,ab4dc42e7cd1e078,ecfd53124d72b5dd,,,,,off_diagonal,,,true,true,false,
zz4_pair_0136,136,upper_triangle_including_diagonal,6,13,ab4dc42e7cd1e078,cba4125e4bce6622,,,,,off_diagonal,,,true,true,false,
zz4_pair_0137,137,upper_triangle_including_diagonal,6,14,ab4dc42e7cd1e078,a39713a90257d827,,,,,off_diagonal,,,true,true,false,
zz4_pair_0138,138,upper_triangle_including_diagonal,6,15,ab4dc42e7cd1e078,fc59d55a83f892d0,,,,,off_diagonal,,,true,true,false,
zz4_pair_0139,139,upper_triangle_including_diagonal,6,16,ab4dc42e7cd1e078,a4bd453f56f0e631,,,,,off_diagonal,,,true,true,false,
zz4_pair_0140,140,upper_triangle_including_diagonal,6,17,ab4dc42e7cd1e078,b1db81243749dd16,,,,,off_diagonal,,,true,true,false,
zz4_pair_0141,141,upper_triangle_including_diagonal,6,18,ab4dc42e7cd1e078,d8152fa95ab9f51d,,,,,off_diagonal,,,true,true,false,
zz4_pair_0142,142,upper_triangle_including_diagonal,6,19,ab4dc42e7cd1e078,664a7fad6c56bb69,,,,,off_diagonal,,,true,true,false,
zz4_pair_0143,143,upper_triangle_including_diagonal,6,20,ab4dc42e7cd1e078,fa8359bc13d94b4e,,,,,off_diagonal,,,true,true,false,
zz4_pair_0144,144,upper_triangle_including_diagonal,6,21,ab4dc42e7cd1e078,e670c8b96454834e,,,,,off_diagonal,,,true,true,false,
zz4_pair_0145,145,upper_triangle_including_diagonal,6,22,ab4dc42e7cd1e078,c46db9ff584498d8,,,,,off_diagonal,,,true,true,false,
zz4_pair_0146,146,upper_triangle_including_diagonal,6,23,ab4dc42e7cd1e078,b1c2bbb93e4f5cb2,,,,,off_diagonal,,,true,true,false,
zz4_pair_0147,147,upper_triangle_including_diagonal,7,7,dff67452baae875f,dff67452baae875f,,,,,diagonal,,,false,true,false,diagonal may be measured or set to one by documented execution policy
zz4_pair_0148,148,upper_triangle_including_diagonal,7,8,dff67452baae875f,57efcbdd988cedc7,,,,,off_diagonal,,,true,true,false,
zz4_pair_0149,149,upper_triangle_including_diagonal,7,9,dff67452baae875f,a5b2112c04bbe22f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0150,150,upper_triangle_including_diagonal,7,10,dff67452baae875f,bba597289cecd596,,,,,off_diagonal,,,true,true,false,
zz4_pair_0151,151,upper_triangle_including_diagonal,7,11,dff67452baae875f,7a110121aab5f925,,,,,off_diagonal,,,true,true,false,
zz4_pair_0152,152,upper_triangle_including_diagonal,7,12,dff67452baae875f,ecfd53124d72b5dd,,,,,off_diagonal,,,true,true,false,
zz4_pair_0153,153,upper_triangle_including_diagonal,7,13,dff67452baae875f,cba4125e4bce6622,,,,,off_diagonal,,,true,true,false,
zz4_pair_0154,154,upper_triangle_including_diagonal,7,14,dff67452baae875f,a39713a90257d827,,,,,off_diagonal,,,true,true,false,
zz4_pair_0155,155,upper_triangle_including_diagonal,7,15,dff67452baae875f,fc59d55a83f892d0,,,,,off_diagonal,,,true,true,false,
zz4_pair_0156,156,upper_triangle_including_diagonal,7,16,dff67452baae875f,a4bd453f56f0e631,,,,,off_diagonal,,,true,true,false,
zz4_pair_0157,157,upper_triangle_including_diagonal,7,17,dff67452baae875f,b1db81243749dd16,,,,,off_diagonal,,,true,true,false,
zz4_pair_0158,158,upper_triangle_including_diagonal,7,18,dff67452baae875f,d8152fa95ab9f51d,,,,,off_diagonal,,,true,true,false,
zz4_pair_0159,159,upper_triangle_including_diagonal,7,19,dff67452baae875f,664a7fad6c56bb69,,,,,off_diagonal,,,true,true,false,
zz4_pair_0160,160,upper_triangle_including_diagonal,7,20,dff67452baae875f,fa8359bc13d94b4e,,,,,off_diagonal,,,true,true,false,
zz4_pair_0161,161,upper_triangle_including_diagonal,7,21,dff67452baae875f,e670c8b96454834e,,,,,off_diagonal,,,true,true,false,
zz4_pair_0162,162,upper_triangle_including_diagonal,7,22,dff67452baae875f,c46db9ff584498d8,,,,,off_diagonal,,,true,true,false,
zz4_pair_0163,163,upper_triangle_including_diagonal,7,23,dff67452baae875f,b1c2bbb93e4f5cb2,,,,,off_diagonal,,,true,true,false,
zz4_pair_0164,164,upper_triangle_including_diagonal,8,8,57efcbdd988cedc7,57efcbdd988cedc7,,,,,diagonal,,,false,true,false,diagonal may be measured or set to one by documented execution policy
