regime_id,pub_order,circuit_inventory_id,pair_id,i,j,all_zero_key,all_zero_count,shots_observed,kernel_value_raw
H0,144,zz4_H0_zz4_pair_0144,zz4_pair_0144,6,21,0000,44,1024,0.04296875
H0,145,zz4_H0_zz4_pair_0145,zz4_pair_0145,6,22,0000,295,1024,0.2880859375
H0,146,zz4_H0_zz4_pair_0146,zz4_pair_0146,6,23,0000,28,1024,0.02734375
H0,147,zz4_H0_zz4_pair_0147,zz4_pair_0147,7,7,0000,977,1024,0.9541015625
H0,148,zz4_H0_zz4_pair_0148,zz4_pair_0148,7,8,0000,27,1024,0.0263671875
H0,149,zz4_H0_zz4_pair_0149,zz4_pair_0149,7,9,0000,29,1024,0.0283203125
H0,150,zz4_H0_zz4_pair_0150,zz4_pair_0150,7,10,0000,226,1024,0.220703125
H0,151,zz4_H0_zz4_pair_0151,zz4_pair_0151,7,11,0000,67,1024,0.0654296875
H0,152,zz4_H0_zz4_pair_0152,zz4_pair_0152,7,12,0000,59,1024,0.0576171875
H0,153,zz4_H0_zz4_pair_0153,zz4_pair_0153,7,13,0000,38,1024,0.037109375
H0,154,zz4_H0_zz4_pair_0154,zz4_pair_0154,7,14,0000,111,1024,0.1083984375
H0,155,zz4_H0_zz4_pair_0155,zz4_pair_0155,7,15,0000,139,1024,0.1357421875
H0,156,zz4_H0_zz4_pair_0156,zz4_pair_0156,7,16,0000,50,1024,0.048828125
H0,157,zz4_H0_zz4_pair_0157,zz4_pair_0157,7,17,0000,32,1024,0.03125
H0,158,zz4_H0_zz4_pair_0158,zz4_pair_0158,7,18,0000,64,1024,0.0625
H0,159,zz4_H0_zz4_pair_0159,zz4_pair_0159,7,19,0000,50,1024,0.048828125
H0,160,zz4_H0_zz4_pair_0160,zz4_pair_0160,7,20,0000,25,1024,0.0244140625
H0,161,zz4_H0_zz4_pair_0161,zz4_pair_0161,7,21,0000,66,1024,0.064453125
H0,162,zz4_H0_zz4_pair_0162,zz4_pair_0162,7,22,0000,214,1024,0.208984375
H0,163,zz4_H0_zz4_pair_0163,zz4_pair_0163,7,23,0000,47,1024,0.0458984375
H0,164,zz4_H0_zz4_pair_0164,zz4_pair_0164,8,8,0000,945,1024,0.9228515625
H0,165,zz4_H0_zz4_pair_0165,zz4_pair_0165,8,9,0000,55,1024,0.0537109375
